76
10
6
17
20
24
26
32
38
45
54
70
115
0 1
0 67
1 3
1 6
2 66
2 54
3 10
4 5
5 10
5 7
6 7
6 10
6 54
6 55
6 56
8 9
9 27
10 32
10 70
10 11
10 57
11 71
12 72
12 34
12 13
12 47
14 36
14 15
15 72
15 27
15 63
16 17
16 25
17 38
17 44
17 61
17 25
17 29
18 51
18 20
19 51
20 25
20 21
20 22
22 23
23 24
24 25
25 37
25 40
25 41
25 53
25 63
25 61
25 31
26 64
26 58
26 53
26 31
27 72
27 41
27 47
27 28
28 33
28 42
29 63
30 51
31 64
32 61
32 68
32 45
32 47
33 41
34 72
35 49
35 36
36 63
37 41
38 49
40 41
41 42
41 58
41 61
43 46
43 47
44 61
45 48
45 47
46 61
47 72
47 48
47 61
47 63
49 63
51 58
54 60
54 61
55 66
55 68
56 57
58 59
58 60
58 61
59 60
60 61
61 66
61 73
62 64
66 75
66 67
68 69
68 70
68 71
69 70
70 71
73 75
165
4
0 1 0.8
1 2 0.6
2 3 0.5
3 4 0.4
