70
85
0 1
0 27
1 34
1 37
1 6
1 7
2 9
2 3
2 61
3 27
3 34
4 5
4 7
5 57
5 10
5 11
6 38
8 48
8 50
8 54
9 27
9 46
11 53
12 66
12 15
13 29
13 14
13 31
15 26
16 17
16 55
17 58
18 19
18 47
19 20
20 21
20 47
21 22
22 24
22 54
22 23
24 25
25 53
26 31
28 65
28 66
28 67
29 67
29 46
30 59
30 45
31 49
31 44
32 59
32 44
33 49
33 42
33 45
35 51
35 52
35 53
36 37
38 41
38 42
39 40
39 55
40 41
43 46
44 59
44 45
45 49
47 48
48 57
50 57
50 54
55 56
56 57
58 59
60 68
60 69
61 69
62 63
63 64
63 65
67 68
150
4
0 1 0.8
1 2 0.6
2 3 0.5
3 4 0.4
