58
10
14
21
25
31
35
36
43
46
49
54
87
0 1
0 3
1 53
1 6
1 15
2 56
2 49
3 52
3 53
4 51
4 5
5 10
6 7
7 53
8 51
9 51
10 51
10 11
10 36
11 43
12 52
13 52
14 24
14 50
14 27
16 50
16 23
17 25
17 50
17 31
18 19
18 38
19 51
19 20
20 46
21 22
21 23
22 51
23 24
25 27
26 50
27 44
28 51
28 36
29 51
30 48
30 31
32 33
32 50
33 50
33 37
34 35
34 52
35 50
36 51
37 52
38 39
39 44
40 41
40 43
41 53
42 43
42 53
43 51
44 50
44 45
45 46
46 51
47 51
47 53
48 56
48 49
48 52
48 57
50 51
50 52
50 53
50 55
51 52
51 53
52 53
52 54
52 55
52 56
53 54
55 56
56 57
120
4
0 1 0.8
1 2 0.6
2 3 0.5
3 4 0.4
