113
10
2
12
22
39
41
48
65
68
79
110
161
0 64
0 1
0 9
0 8
0 63
1 65
2 55
2 87
3 88
3 4
3 45
3 86
3 47
4 86
4 5
4 6
4 7
5 46
6 80
6 81
6 62
7 8
8 86
8 63
9 63
10 16
10 104
10 11
10 13
11 16
11 104
11 13
12 19
12 13
14 17
14 84
15 97
15 47
16 104
17 43
18 19
18 35
19 104
19 36
19 37
20 21
20 22
20 23
21 26
22 83
23 105
24 25
24 27
24 95
25 89
25 26
25 28
25 92
27 83
28 29
29 92
30 103
30 36
30 77
30 31
31 112
31 36
31 37
32 33
32 34
33 38
34 35
36 37
38 39
40 41
40 49
41 42
42 43
43 45
44 47
46 47
47 73
47 51
47 84
47 111
47 60
48 57
48 49
49 84
49 54
50 57
50 91
50 52
50 51
52 53
53 59
53 60
54 56
54 90
54 111
54 55
55 94
55 111
56 57
58 105
58 61
58 110
59 60
60 104
60 97
61 82
62 80
62 70
62 85
63 85
63 70
64 65
64 66
64 67
66 67
66 69
66 85
68 69
68 71
70 71
72 73
72 75
72 81
73 98
74 112
74 75
74 103
75 104
75 76
76 100
77 81
77 100
77 103
78 101
79 102
81 101
82 83
87 88
88 93
89 96
89 90
91 92
93 94
94 95
95 96
97 98
98 99
99 104
99 112
100 102
101 102
105 106
106 107
107 108
108 109
109 110
257
4
0 1 0.8
1 2 0.6
2 3 0.5
3 4 0.4
